"exp.test.price.","exp.pred_xgboost."
10150000,10147772.8556251
9870000.00000001,9797419.05400875
9800000.00000001,9797419.05400875
9681000,9798035.74751331
9309999.99999999,9238295.44027611
9239999.99999999,9238295.44027611
9100000,9097879.66888168
8645000,8643998.90344006
8463000,8399114.94209518
8400000,8398650.37377201
7980000,7961911.23655053
7840000,7874467.21784345
7700000,7699394.59592202
7525000,7559452.22125735
7490000,7559034.09600645
7455000,7419526.91104918
7420000,7419526.91104918
7350000,7349595.74157596
7140000,7209600.31034129
7070000,7069634.85432618
6930000,6929273.45982472
6860000,6894291.96819755
6789999.99999999,6789697.6982338
6754999.99999999,6789697.6982338
6684999.99999999,6719714.71958352
6650000,6649774.47305065
6580000,6614797.07958017
6419000,6403252.04437703
6300000,6299507.52402819
6195000,6194908.83813936
6082999.99999999,6084243.52870517
6020000,6018397.19609554
6020000,6018397.19609554
5950000,5949665.05031513
5950000,5949665.05031513
5950000,5949665.05031513
5950000,5949994.1538964
5880000,5879558.68680634
5810000,5821737.62912941
5810000,5821737.62912941
5740000,5740067.94612551
5600000,5600050.69927548
5600000,5600050.69927548
5600000,5599740.95161981
5600000,5599740.95161981
5565000,5564764.67807389
5530000,5530507.90427438
5523000,5530202.00314063
5495000,5494087.97742933
5383000,5393457.13871441
5285000,5316720.50946039
5250000,5249779.89369892
5250000,5250070.28338461
5215000,5213592.46563395
5145000,5109818.00928238
5145000,5109818.00928238
5110000,5109818.00928238
5040000,5039774.10467696
4935000,4954750.22136279
4900000,4899884.60961357
4900000,4899884.60961357
4900000,4899884.60961357
4900000,4899884.60961357
4900000,4899884.60961357
4900000,4899884.60961357
4865000,4892884.94575346
4795000,4767063.88040459
4795000,4767063.88040459
4760000,4767063.88040459
4690000,4692557.69390242
4690000,4692298.14111927
4620000,4624095.15393157
4585000,4584925.85573908
4550000,4551523.9618049
4550000,4551523.9618049
4543000,4535396.62201176
4515000,4514966.84492373
4480000,4480224.16301366
4445000,4472667.90805309
4382000,4375058.60594034
4340000,4339960.21963243
4340000,4339960.21963243
4319000,4305012.02540064
4270000,4270687.36211887
4270000,4270687.36211887
4200000,4200004.04541741
4200000,4200236.36712981
4200000,4200236.36712981
4200000,4200004.04541741
4200000,4200236.36712981
4200000,4200004.04541741
4095000,4094951.79255302
4060000,4060222.1125651
4025000,4026397.47167147
4007500,4005425.1431613
3990000,3989908.40108883
3990000,3989908.40108883
3920000,3920741.31768643
3885000,3882013.45841821
3850000,3851197.33231076
3850000,3850984.31649907
3780000,3780048.73137803
3780000,3780048.73137803
3780000,3780048.73137803
3773000,3773266.72931507
3745000,3773058.02396821
3710000,3710062.41357194
3675000,3675069.47725248
3675000,3675069.47725248
3640000,3640045.54542544
3640000,3640045.54542544
3640000,3640045.54542544
3640000,3640045.54542544
3570000,3570972.01095197
3500000,3500083.50998053
3500000,3500083.50998053
3500000,3500083.50998053
3500000,3500083.50998053
3500000,3500083.50998053
3500000,3500083.50998053
3465000,3465107.59455393
3430000,3430111.52269749
3430000,3430111.52269749
3430000,3430111.52269749
3395000,3394827.79844514
3395000,3394827.79844514
3360000,3360128.12001885
3360000,3360128.12001885
3353000,3360128.12001885
3290000,3290154.00287416
3220000,3220168.81629424
3150000,3150154.79408477
3150000,3150154.79408477
3143000,3150154.79408477
3118850,3115182.94565316
3115000,3115182.94565316
3087000,3115182.94565316
3080000,3115182.94565316
3080000,3115182.94565316
3080000,3115182.94565316
3080000,3115182.94565316
3010000,3010190.26999779
3010000,3010190.26999779
2975000,2961148.509249
2940000,2940206.91668337
2940000,2940206.91668337
2870000,2870218.72628655
2852500,2870218.72628655
2835000,2835221.80357248
2660000,2660217.9396986
2660000,2660217.9396986
2653000,2653247.8507374
2604000,2590253.41753805
2590000,2590396.69647374
2520000,2520267.97585017
2485000,2485272.87572681
2450000,2450282.27677299
2450000,2450282.27677299
2380000,2380443.64073257
2310000,2345320.23281754
2100000,2100399.59586023
1750000,1751441.74257494
